basin,stream,season,yr,season.yr,basin.stream,basin.season.yr,basin.stream.season.yr,n,w,elev,aspect,from.north,percent.south,slope,bf,pebble,width,depth,discharge,carbon,ammonia,nitrate,din,cn.ratio,phosphate,canopy,par.integrative,par.mean,par.max,temp.max,temp.min,temp.mean
taneum,first,sum,17,1st Summer '17,taneum.first,taneum.sum.17,taneum.first.sum.17,47.114618,120.946155,880,155,155,86.11111111,5,5.07,42,0.37,0.06,0.3,3.31,-0.0160324,0.011325,0.0136805,241.9502211,0.0433362,22.1,1.3582056,4716,48044.7,12.56,10.76,11.74
taneum,frost,sum,17,1st Summer '17,taneum.frost,taneum.sum.17,taneum.frost.sum.17,47.102939,120.950163,904,328,32,17.77777778,10,12.74,60,0.38,0.073,7,6.62,-0.0155774,0.0038642,0.0066747,991.8048751,0.0336418,4.9,0.9868906,3426.7,25937.3,14.03,10.2,11.64
swauk,hovey,sum,17,1st Summer '17,swauk.hovey,swauk.sum.17,swauk.hovey.sum.17,47.318852,120.695241,905,108,108,60,6,3.44,62,0.9,0.07,4.4,4.09,-0.015206,0.0034228,0.0066047,619.2559844,0.0167959,26.8,1.6185798,5620.1,25350,11.85,10.5,11.22
swauk,hurley,sum,17,1st Summer '17,swauk.hurley,swauk.sum.17,swauk.hurley.sum.17,47.321212,120.674011,932,302,58,32.22222222,3,3.32,66,0.6,0.046,0.3,4.07,-0.0160625,0.013385,0.0157104,259.0640595,0.016076,40.1,3.5253744,12240.9,102800,12.29,8.72,10.53
swauk,iron,sum,17,1st Summer '17,swauk.iron,swauk.sum.17,swauk.iron.sum.17,47.336689,120.693441,950,139,139,77.22222222,2,5.16,43.5,2,0.102,9.8,3.92,-0.0171266,0.0031448,0.0044061,889.6756769,0.0083334,6.8,0.4594512,1595.3,12166.7,10.52,8.04,9.15
teanaway,jack,sum,17,1st Summer '17,teanaway.jack,teanaway.sum.17,teanaway.jack.sum.17,47.3475,120.782771,954,225,135,75,3,3.62,68.5,1.9,0.094,5.2,4.82,-0.016948,0.0030031,0.004443,1084.852577,0.0104461,50.8,0.6796484,2359.9,10136.4,12.61,8.72,10.41
teanaway,miller,sum,17,1st Summer '17,teanaway.miller,teanaway.sum.17,teanaway.miller.sum.17,47.368323,120.78448,981,170,170,94.44444444,5,6.08,55,1.7,0.1,49.5,1.84,-0.0144906,0.0098045,0.0137018,134.2889255,0.0057554,15.9,0.507454,1762,10470.8,12.76,9.84,11.05
teanaway,standup,sum,17,1st Summer '17,teanaway.standup,teanaway.sum.17,teanaway.standup.sum.17,47.356182,120.836047,871,152,152,84.44444444,8,4.42,92,2.2,0.13,44.7,1.69,-0.0155181,0.0049569,0.0078267,215.9275301,0.0062148,46.9,2.0117093,6985.1,40000,14.72,10.86,12.49
swauk,swauk,sum,17,1st Summer '17,swauk.swauk,swauk.sum.17,swauk.swauk.sum.17,47.331107,120.614636,1071,289,71,39.44444444,4,4.82,39,2,0.12,23.8,3.39,-0.0122278,0.2497129,0.255873,13.24876013,0.0399653,29.2,2.0638441,7166.1,102695.6,12.28,8.88,10.73
swauk,blue,sum,18,3rd Summer '18,swauk.blue,swauk.sum.18,swauk.blue.sum.18,47.296801,120.705743,869,120,120,66.66666667,3,5.2,35.5,1,0.054,12.2,0.51,-0.0097535,0.0085515,0.0171859,29.67548979,0.0206144,23.4,1.6454489,5713.4,60478.2,11.41,7.51,9.66
taneum,first,sum,18,3rd Summer '18,taneum.first,taneum.sum.18,taneum.first.sum.18,47.114618,120.946155,880,155,155,86.11111111,5,5.07,42,0.45,0.04,1.2,8.16,-0.0103038,0.0085704,0.0166545,489.9576691,0.0609673,22.4,1.0669254,3704.6,50673.9,11.08,9.22,10.19
taneum,frost,sum,18,3rd Summer '18,taneum.frost,taneum.sum.18,taneum.frost.sum.18,47.102939,120.950163,904,328,32,17.77777778,10,12.74,60,1.2,0.072,9.6,13.27,-0.0109255,0.0082679,0.0157303,843.5948456,0.0419804,26,2.2312729,7747.5,68241.7,13.58,8.91,10.89
swauk,hovey,sum,18,3rd Summer '18,swauk.hovey,swauk.sum.18,swauk.hovey.sum.18,47.318852,120.695241,905,108,108,60,6,3.44,62,0.7,0.054,10.9,7.68,-0.009647,0.0083529,0.0170938,449.2857059,0.0250692,29.9,1.7173221,5962.9,60433.1,10.95,8,9.64
swauk,hurley,sum,18,3rd Summer '18,swauk.hurley,swauk.sum.18,swauk.hurley.sum.18,47.321212,120.674011,932,302,58,32.22222222,3,3.32,66,0.8,0.056,1.7,11.09,-0.0102217,0.008881,0.0170472,650.5467173,0.0253772,40.4,0.8967503,3113.7,44626.3,10.63,7.26,8.97
swauk,iron,sum,18,3rd Summer '18,swauk.iron,swauk.sum.18,swauk.iron.sum.18,47.336689,120.693441,950,139,139,77.22222222,2,5.16,43.5,1.35,0.108,28.5,8.94,-0.0111024,0.0087862,0.0160717,556.2572721,0.0176997,10.7,0.2629984,913.2,27590.2,9.18,6.77,7.93
teanaway,jack,sum,18,3rd Summer '18,teanaway.jack,teanaway.sum.18,teanaway.jack.sum.18,47.3475,120.782771,954,225,135,75,3,3.62,68.5,2,0.094,8.9,10.74,-0.0123252,0.0085704,0.0146331,733.9524776,0.0233015,55.5,1.0983069,3813.6,67262.4,11.3,7.84,9.05
teanaway,miller,sum,18,3rd Summer '18,teanaway.miller,teanaway.sum.18,teanaway.miller.sum.18,47.368323,120.78448,981,170,170,94.44444444,5,6.08,55,2.2,0.112,65.5,4.6,-0.010771,0.0094424,0.0170593,269.6476409,0.013808,6.8,0.2789166,968.5,32647.6,9.35,6.95,8.16
teanaway,standup,sum,18,3rd Summer '18,teanaway.standup,teanaway.sum.18,teanaway.standup.sum.18,47.356182,120.836047,871,152,152,84.44444444,8,4.42,92,2.2,0.114,42.2,5.2,-0.011078,0.0086581,0.015968,325.6513026,0.0150953,19.3,1.1441841,3972.9,61668.8,11.15,7.5,9.3
swauk,swauk,sum,18,3rd Summer '18,swauk.swauk,swauk.sum.18,swauk.swauk.sum.18,47.331107,120.614636,1071,289,71,39.44444444,4,4.82,39,1.05,0.05,34.2,6.93,-0.0092394,0.008606,0.0177545,390.3235799,0.0490258,26.8,0.5608226,1947.3,43097.8,10.69,7.31,8.87
